Method,Accuracy,Negatif_Precision,Negatif_Recall,Negatif_F1-Score,Negatif_Support,Netral_Precision,Netral_Recall,Netral_F1-Score,Netral_Support,Positif_Precision,Positif_Recall,Positif_F1-Score,Positif_Support,Macro_Avg_Precision,Macro_Avg_Recall,Macro_Avg_F1-Score,Weighted_Avg_Precision,Weighted_Avg_Recall,Weighted_Avg_F1-Score
"ML: Logistic Regression (Ngram: (1, 1)) vs Kamus: AFINN",0.7,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.7,1.0,0.8235294117647058,14.0,0.2333333333333333,0.3333333333333333,0.2745098039215686,0.48999999999999994,0.7,0.5764705882352941
"ML: Logistic Regression (Ngram: (1, 1)) vs Kamus: SentiWordNet",0.7,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.7,1.0,0.8235294117647058,14.0,0.2333333333333333,0.3333333333333333,0.2745098039215686,0.48999999999999994,0.7,0.5764705882352941
"ML: Logistic Regression (Ngram: (1, 1)) vs Kamus: SenticNet",0.65,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,0.65,1.0,0.7878787878787878,13.0,0.21666666666666667,0.3333333333333333,0.2626262626262626,0.42250000000000004,0.65,0.5121212121212121
"ML: Logistic Regression (Ngram: (1, 1)) vs Kamus: TextBlob",0.65,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,0.65,1.0,0.7878787878787878,13.0,0.21666666666666667,0.3333333333333333,0.2626262626262626,0.42250000000000004,0.65,0.5121212121212121
"ML: MLP Neural Network (Ngram: (1, 1)) vs Kamus: AFINN",0.7,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.7,1.0,0.8235294117647058,14.0,0.2333333333333333,0.3333333333333333,0.2745098039215686,0.48999999999999994,0.7,0.5764705882352941
"ML: MLP Neural Network (Ngram: (1, 1)) vs Kamus: SentiWordNet",0.7,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.7,1.0,0.8235294117647058,14.0,0.2333333333333333,0.3333333333333333,0.2745098039215686,0.48999999999999994,0.7,0.5764705882352941
"ML: MLP Neural Network (Ngram: (1, 1)) vs Kamus: SenticNet",0.65,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,0.65,1.0,0.7878787878787878,13.0,0.21666666666666667,0.3333333333333333,0.2626262626262626,0.42250000000000004,0.65,0.5121212121212121
"ML: MLP Neural Network (Ngram: (1, 1)) vs Kamus: TextBlob",0.65,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,0.65,1.0,0.7878787878787878,13.0,0.21666666666666667,0.3333333333333333,0.2626262626262626,0.42250000000000004,0.65,0.5121212121212121
"ML: Naive Bayes (Multinomial) (Ngram: (1, 1)) vs Kamus: AFINN",0.7,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.7,1.0,0.8235294117647058,14.0,0.2333333333333333,0.3333333333333333,0.2745098039215686,0.48999999999999994,0.7,0.5764705882352941
"ML: Naive Bayes (Multinomial) (Ngram: (1, 1)) vs Kamus: SentiWordNet",0.7,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.7,1.0,0.8235294117647058,14.0,0.2333333333333333,0.3333333333333333,0.2745098039215686,0.48999999999999994,0.7,0.5764705882352941
