Method,Accuracy,Negatif_Precision,Negatif_Recall,Negatif_F1-Score,Negatif_Support,Netral_Precision,Netral_Recall,Netral_F1-Score,Netral_Support,Positif_Precision,Positif_Recall,Positif_F1-Score,Positif_Support,Macro_Avg_Precision,Macro_Avg_Recall,Macro_Avg_F1-Score,Weighted_Avg_Precision,Weighted_Avg_Recall,Weighted_Avg_F1-Score
Logistic Regression vs AFINN,0.7,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.7,1.0,0.8235294117647058,14.0,0.2333333333333333,0.3333333333333333,0.2745098039215686,0.48999999999999994,0.7,0.5764705882352941
Logistic Regression vs SentiWordNet,0.7,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.7,1.0,0.8235294117647058,14.0,0.2333333333333333,0.3333333333333333,0.2745098039215686,0.48999999999999994,0.7,0.5764705882352941
Logistic Regression vs SenticNet,0.65,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,0.65,1.0,0.7878787878787878,13.0,0.21666666666666667,0.3333333333333333,0.2626262626262626,0.42250000000000004,0.65,0.5121212121212121
Logistic Regression vs TextBlob,0.65,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,0.65,1.0,0.7878787878787878,13.0,0.21666666666666667,0.3333333333333333,0.2626262626262626,0.42250000000000004,0.65,0.5121212121212121
MLP Neural Network vs AFINN,0.65,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.6842105263157895,0.9285714285714286,0.7878787878787878,14.0,0.2280701754385965,0.30952380952380953,0.2626262626262626,0.4789473684210527,0.65,0.5515151515151515
MLP Neural Network vs SentiWordNet,0.65,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.6842105263157895,0.9285714285714286,0.7878787878787878,14.0,0.2280701754385965,0.30952380952380953,0.2626262626262626,0.4789473684210527,0.65,0.5515151515151515
MLP Neural Network vs SenticNet,0.7,1.0,0.3333333333333333,0.5,3.0,0.0,0.0,0.0,4.0,0.6842105263157895,1.0,0.8125,13.0,0.5614035087719298,0.4444444444444444,0.4375,0.5947368421052632,0.7,0.603125
MLP Neural Network vs TextBlob,0.6,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,0.631578947368421,0.9230769230769231,0.75,13.0,0.21052631578947367,0.3076923076923077,0.25,0.41052631578947363,0.6,0.4875
Naive Bayes (Multinomial) vs AFINN,0.7,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.7,1.0,0.8235294117647058,14.0,0.2333333333333333,0.3333333333333333,0.2745098039215686,0.48999999999999994,0.7,0.5764705882352941
Naive Bayes (Multinomial) vs SentiWordNet,0.7,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.7,1.0,0.8235294117647058,14.0,0.2333333333333333,0.3333333333333333,0.2745098039215686,0.48999999999999994,0.7,0.5764705882352941
Naive Bayes (Multinomial) vs SenticNet,0.65,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,0.65,1.0,0.7878787878787878,13.0,0.21666666666666667,0.3333333333333333,0.2626262626262626,0.42250000000000004,0.65,0.5121212121212121
Naive Bayes (Multinomial) vs TextBlob,0.65,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,0.65,1.0,0.7878787878787878,13.0,0.21666666666666667,0.3333333333333333,0.2626262626262626,0.42250000000000004,0.65,0.5121212121212121
