Method,Accuracy,Negatif_Precision,Negatif_Recall,Negatif_F1-Score,Negatif_Support,Netral_Precision,Netral_Recall,Netral_F1-Score,Netral_Support,Positif_Precision,Positif_Recall,Positif_F1-Score,Positif_Support,Macro_Avg_Precision,Macro_Avg_Recall,Macro_Avg_F1-Score,Weighted_Avg_Precision,Weighted_Avg_Recall,Weighted_Avg_F1-Score
AFINN,0.6012024048096193,0.6610169491525424,0.3611111111111111,0.46706586826347307,108.0,0.03821656050955414,0.5,0.07100591715976332,12.0,0.901060070671378,0.6728232189973615,0.770392749244713,379.0,0.5334311934444915,0.5113114433694909,0.43615484488931644,0.8283571062505842,0.6012024048096193,0.6879239213268907
SentiWordNet,0.6052104208416834,0.4673913043478261,0.39814814814814814,0.43,108.0,0.02912621359223301,0.25,0.05217391304347826,12.0,0.8421052631578947,0.6754617414248021,0.7496339677891655,379.0,0.44620759369931795,0.4412032965243167,0.4106026269442146,0.7414542488367017,0.6052104208416834,0.663682085668568
SenticNet,0.591182364729459,0.2553191489361702,0.2222222222222222,0.2376237623762376,108.0,0.05555555555555555,0.3333333333333333,0.09523809523809523,12.0,0.8018018018018018,0.7044854881266491,0.75,379.0,0.3708921687645092,0.42001368122740157,0.3609539525381109,0.6655791936566252,0.591182364729459,0.6233591652895608
TextBlob,0.6773547094188377,0.8648648648648649,0.2962962962962963,0.4413793103448276,108.0,0.05925925925925926,0.6666666666666666,0.10884353741496598,12.0,0.9113149847094801,0.7862796833773087,0.8441926345609065,379.0,0.6118130362778681,0.5830808821134239,0.46480516077356676,0.8807713341110411,0.6773547094188377,0.7393268466228547
"ML - Logistic Regression (Ngram: (1, 1))",0.84,0.7692307692307693,0.45454545454545453,0.5714285714285714,22.0,0.0,0.0,0.0,2.0,0.8505747126436781,0.9736842105263158,0.9079754601226994,76.0,0.5399351606248158,0.47607655502392343,0.49313467718375686,0.8156675508399646,0.84,0.8157756354075372
"ML - MLP Neural Network (Ngram: (1, 1))",0.75,0.25,0.045454545454545456,0.07692307692307693,22.0,0.0,0.0,0.0,2.0,0.7708333333333334,0.9736842105263158,0.8604651162790697,76.0,0.34027777777777785,0.33971291866028713,0.3124627310673822,0.6408333333333335,0.75,0.6708765652951699
"ML - Naive Bayes (Multinomial) (Ngram: (1, 1))",0.86,0.8,0.5454545454545454,0.6486486486486487,22.0,0.0,0.0,0.0,2.0,0.8705882352941177,0.9736842105263158,0.9192546583850931,76.0,0.5568627450980392,0.5063795853269538,0.5226344356779139,0.8376470588235295,0.86,0.8413362430753735
"ML - Logistic Regression (Ngram: (1, 2))",0.83,0.75,0.4090909090909091,0.5294117647058824,22.0,0.0,0.0,0.0,2.0,0.8409090909090909,0.9736842105263158,0.9024390243902439,76.0,0.5303030303030303,0.4609250398724083,0.47728359636537543,0.8040909090909091,0.83,0.8023242467718795
"ML - MLP Neural Network (Ngram: (1, 2))",0.87,0.7777777777777778,0.6363636363636364,0.7,22.0,0.0,0.0,0.0,2.0,0.8902439024390244,0.9605263157894737,0.9240506329113924,76.0,0.5560072267389341,0.5322966507177034,0.5413502109704641,0.8476964769647697,0.87,0.8562784810126581
"ML - Naive Bayes (Multinomial) (Ngram: (1, 2))",0.87,0.8125,0.5909090909090909,0.6842105263157895,22.0,0.0,0.0,0.0,2.0,0.8809523809523809,0.9736842105263158,0.925,76.0,0.564484126984127,0.521531100478469,0.5364035087719299,0.8482738095238095,0.87,0.8535263157894737
"ML - Logistic Regression (Ngram: (1, 3))",0.83,0.75,0.4090909090909091,0.5294117647058824,22.0,0.0,0.0,0.0,2.0,0.8409090909090909,0.9736842105263158,0.9024390243902439,76.0,0.5303030303030303,0.4609250398724083,0.47728359636537543,0.8040909090909091,0.83,0.8023242467718795
"ML - MLP Neural Network (Ngram: (1, 3))",0.82,0.8181818181818182,0.4090909090909091,0.5454545454545454,22.0,0.0,0.0,0.0,2.0,0.8488372093023255,0.9605263157894737,0.9012345679012346,76.0,0.5556730091613812,0.45653907496012763,0.48222970445192664,0.8251162790697674,0.82,0.8049382716049382
"ML - Naive Bayes (Multinomial) (Ngram: (1, 3))",0.87,0.8125,0.5909090909090909,0.6842105263157895,22.0,0.0,0.0,0.0,2.0,0.8809523809523809,0.9736842105263158,0.925,76.0,0.564484126984127,0.521531100478469,0.5364035087719299,0.8482738095238095,0.87,0.8535263157894737
"ML - Logistic Regression (Ngram: (2, 2))",0.78,1.0,0.09090909090909091,0.16666666666666666,22.0,0.0,0.0,0.0,2.0,0.7755102040816326,1.0,0.8735632183908046,76.0,0.5918367346938775,0.3636363636363636,0.3467432950191571,0.8093877551020409,0.78,0.7005747126436782
"ML - MLP Neural Network (Ngram: (2, 2))",0.86,0.8,0.5454545454545454,0.6486486486486487,22.0,0.0,0.0,0.0,2.0,0.8705882352941177,0.9736842105263158,0.9192546583850931,76.0,0.5568627450980392,0.5063795853269538,0.5226344356779139,0.8376470588235295,0.86,0.8413362430753735
"ML - Naive Bayes (Multinomial) (Ngram: (2, 2))",0.83,0.8888888888888888,0.36363636363636365,0.5161290322580645,22.0,0.0,0.0,0.0,2.0,0.8241758241758241,0.9868421052631579,0.8982035928143712,76.0,0.571021571021571,0.4501594896331738,0.4714442083574786,0.8219291819291819,0.83,0.7961831176356964
"ML - Logistic Regression (Ngram: (2, 3))",0.77,1.0,0.045454545454545456,0.08695652173913043,22.0,0.0,0.0,0.0,2.0,0.7676767676767676,1.0,0.8685714285714285,76.0,0.5892255892255892,0.34848484848484845,0.3185093167701863,0.8034343434343434,0.77,0.6792447204968944
"ML - MLP Neural Network (Ngram: (2, 3))",0.84,0.7058823529411765,0.5454545454545454,0.6153846153846154,22.0,0.0,0.0,0.0,2.0,0.8888888888888888,0.9473684210526315,0.9171974522292994,76.0,0.5315904139433552,0.4976076555023923,0.5108606892046382,0.8308496732026144,0.84,0.8324546790788829
"ML - Naive Bayes (Multinomial) (Ngram: (2, 3))",0.83,0.8888888888888888,0.36363636363636365,0.5161290322580645,22.0,0.0,0.0,0.0,2.0,0.8241758241758241,0.9868421052631579,0.8982035928143712,76.0,0.571021571021571,0.4501594896331738,0.4714442083574786,0.8219291819291819,0.83,0.7961831176356964
"ML - Logistic Regression (Ngram: (1, 1))",0.84,0.7692307692307693,0.45454545454545453,0.5714285714285714,22.0,0.0,0.0,0.0,2.0,0.8505747126436781,0.9736842105263158,0.9079754601226994,76.0,0.5399351606248158,0.47607655502392343,0.49313467718375686,0.8156675508399646,0.84,0.8157756354075372
"ML - MLP Neural Network (Ngram: (1, 1))",0.75,0.25,0.045454545454545456,0.07692307692307693,22.0,0.0,0.0,0.0,2.0,0.7708333333333334,0.9736842105263158,0.8604651162790697,76.0,0.34027777777777785,0.33971291866028713,0.3124627310673822,0.6408333333333335,0.75,0.6708765652951699
"ML - Naive Bayes (Multinomial) (Ngram: (1, 1))",0.86,0.8,0.5454545454545454,0.6486486486486487,22.0,0.0,0.0,0.0,2.0,0.8705882352941177,0.9736842105263158,0.9192546583850931,76.0,0.5568627450980392,0.5063795853269538,0.5226344356779139,0.8376470588235295,0.86,0.8413362430753735
"ML - Logistic Regression (Ngram: (1, 2))",0.83,0.75,0.4090909090909091,0.5294117647058824,22.0,0.0,0.0,0.0,2.0,0.8409090909090909,0.9736842105263158,0.9024390243902439,76.0,0.5303030303030303,0.4609250398724083,0.47728359636537543,0.8040909090909091,0.83,0.8023242467718795
